Buurt2025;buurtnaam2025
00141605;Buitengebied Ten Post
00141700;Haren-Centrum
00141701;Haren-Zuidwest
00141702;Haren-Zuidoost
00141703;Haren-Noord
00141704;Essen
00141705;Buitengebied Haren-Noordwest
00141706;Nesciopark
00141707;Paterswoldsemeer
00141708;Buitengebied Haren-Zuidoost
00141709;Wolddeelen
00141710;Buitengebied Haren-Zuidwest
00141800;Oosterhaar
00141801;Tuindorp
00141802;Felland
00141803;Buitengebied Haren-Noordoost
00141900;Glimmen Dorp
00141901;Onnen Dorp
00141902;Noordlaren Dorp
00141903;Buitengebied Glimmen
00141904;Buitengebied Onnen
00141905;Buitengebied Noordlaren
00141906;Zuidlaardermeer
00141907;Noordlaarderbos
00141908;Appelbergen Glimmen
00141909;Appelbergen Onnen
00340101;Centrum Haven Noord
00340102;Centrum Haven Zuid
00340201;Rozenwerf en Tuinderswerf
00340202;Achterwerf
00340203;Goedewerf en Wittewerf
00340204;Schoolwerf
00340205;Parkwerf en Stadswerf
00340301;Buitenhof en Groenhof
00340302;Middenhof en Uithof
00340303;Binnenhof en Langshof (met Nieuwstraat)
00340304;Park Uithof
00340401;Jaagmeent en Grasmeent
00340402;Schapenmeent en Terpmeent
00340403;Rietmeent en Dijkmeent
00340501;Klavergriend, Klippriend en Wilgengriend
00340502;Kolkgriend en Oostgriend
00340503;Kadegriend en Overgriend
00340504;Bosgebied De Grienden
00340601;Hofmark, Redemark en Sportmark
00340602;Ambachtsmark, Vrijmark en Zuidmark
00340603;Brugmark, Noordmark en Gildemark
00340604;Sportpark De Marken
00340605;Splittershoek
00340606;Vliegerpark
00340701;Lindengouw, Muidergouw en Peppengouw
00340702;Kromgouw en Overgouw
00340703;Bosgouw, Brongouw en Nijvergouw
00340704;Bedrijventerrein De Paal
00340801;Kornwierde en Leemwierde
00340802;Keiwierde en Oldewierde
00340803;Hoekwierde, Kimwierde en Zandwierde
00340901;De Velden Noord
00340902;De Velden Zuid
00341001;Overgooi (brt)
00341002;Waterlandse Tuinen, Windhoek en Schapenbos
00341003;Cirkelbos
00341101;De Laren Noord
00341102;De Laren Zuid
00341401;De Steiger (brt)
00341501;Stichtsekant (brt)
00341601;Overig Almere Haven Oost
00341602;Overig Almere Haven West
00341701;Centrum Stad Noord
00341702;Centrum Stad Oost
00341703;Centrum Stad Zuidoost
00341704;Centrum Stad Zuidwest
00341705;Centrum Stad West
00341801;Filmwijk Noord
00341802;Filmwijk Bouwrai Noord
00341803;Filmwijk Bouwrai Zuid
00341804;Filmwijk Midden
00341805;Filmwijk Zuid-noord van Walt Disneyplts.
00341806;Filmwijk Zuid-zuid van Walt Disneyplts.
00341807;Lumièrepark
00341808;Laterna Magikapark
00341901;Danswijk Noordwest
00341902;Danswijk Noordoost
00341903;Danswijk Zuidoost
00341904;Danswijk Zuidwest
00342001;Parkwijk Noordwest
00342002;Parkwijk Noordoost
00342003;Parkwijk Zuidoost
00342004;Parkwijk Zuidwest
00342005;Ebenezer Howardpark
00342101;Verzetswijk Oost
00342102;Verzetswijk West
00342103;Hannie Schaftpark/Bos der Onverzettelijk
00342201;Waterwijk Noord
00342202;Waterwijk Oost
00342203;Waterwijk Zuid
00342204;Waterwijk Midden
00342205;Waterwijk West
00342206;Bedrijventerrein Gietersplaats
00342301;Tussen de Vaarten N.- Noord
00342302;Tussen de Vaarten N.- Oost
00342303;Tussen de Vaarten N.- West
00342304;Sportpark Fanny Blankers Koen
00342401;Tussen de Vaarten Z.- Noordwest
00342402;Tussen de Vaarten Z.- Noordoost
00342403;Tussen de Vaarten Z.- Midden oost
00342404;Tussen de Vaarten Z.- Zuidoost
00342405;Tussen de Vaarten Z.- Zuidwest
00342406;Tussen de Vaarten Z.- Midden west
00342407;Bedrijventerrein Het Atelier
00342408;Sallandsebos
00342501;Staatsliedenwijk Oost
00342502;Staatsliedenwijk Midden
00342503;Staatsliedenwijk West
00342601;Kruidenwijk Noordwest
00342602;Kruidenwijk Noord- midden
00342603;Kruidenwijk Noordoost
00342604;Kruidenwijk Midden-oost
00342605;Kruidenwijk Zuid
00342606;Kruidenwijk Midden-west
00342607;Bedrijventerrein Frezersplaats
00342608;Rie Mastenbroeksportpark
00342609;Koningin Beatrixpark
00342701;Stedenwijk Noord
00342702;Stedenwijk Midden-noord
00342703;Stedenwijk Midden-oost
00342704;Stedenwijk Zuid
00342705;Stedenwijk Midden-west
00342706;Bedrijvensterrein Draaiersplaats
00342707;De Korver Sportpark en Annapark
00342708;Dr J.M. den Uylpark
00342801;Muziekwijk N.-Noordwest
00342802;Muziekwijk N.-Noord
00342803;Muziekwijk N.-Noordoost
00342804;Muziekwijk N.-Midden
00342805;Muziekwijk N.-Oost
00342806;Muziekwijk N.-Zuidoost
00342807;Muziekwijk N.-Zuidwest
00342808;Muziekwijk N.-West
00342809;Bedrijventerrein Josephine Bakerstraat
00342810;Klein Brandt Sportpark
00342901;Muziekwijk Z.-Noord
00342902;Muziekwijk Z.-Oost
00342903;Muziekwijk Z.-West
00342904;Bedrijventerrein Felsersplaats
00343001;Literatuurwijk Noordwest
00343002;Literatuurwijk Noordoost
00343003;Literatuurwijk Midden-oost
00343004;Literatuurwijk Zuid
00343005;Literatuurwijk Midden-west
00343006;Bedrijventerrein De Binderij
00343007;Bedrijventerrein De Uitgeverij
00343101;Noorderplassen Oost
00343102;Noorderplassen W.- Noord
00343103;Noorderplassen W.-Oost
00343104;Noorderplassen W.-Zuid
00343105;Noorderplassen W.-West
00343201;Hortus (brt)
00343401;Randstad Oost
00343402;Randstad Zuid
00343403;Randstad West
00343501;Markerkant Noord
00343502;Markerkant Zuid
00343601;Hollandsekant (brt)
00343701;Gooisekant Oost
00343702;Gooisekant West
00343801;Veluwsekant Oost
00343802;Veluwsekant West
00343901;Sallandsekant Noordoost
00343902;Sallandsekant Zuidoost
00343903;Sallandsekant Zuidwest
00344001;Overig Almere Stad Noord
00344002;Overig Almere Stad Zuid
00344003;Overig Almere Stad West
00344101;Centrum Almere Buiten Noord
00344102;Centrum Almere Buiten Zuid
00344201;Oostvaardersbuurt Noord
00344202;Oostvaardersbuurt Oost
00344203;Oostvaardersbuurt West
00344204;Oostrandpark West
00344301;Seizoenenbuurt Noord
00344302;Seizoenenbuurt Oost
00344303;Seizoenenbuurt West
00344304;Meridiaanpark Noord en Bosrand
00344401;Molenbuurt Oost
00344402;Molenbuurt West
00344403;Bedrijventerrein Molenbuurt
00344501;Bouwmeesterbuurt Noord
00344502;Bouwmeesterbuurt Oost
00344503;Bouwmeesterbuurt West
00344504;Bedrijventerrein Bouwmeesterbuurt
00344505;Sportpark Polderkwartier en Polderpark
00344601;Landgoederenbuurt Noord
00344602;Landgoederenbuurt Oost
00344603;Landgoederenbuurt Zuid en West
00344701;Faunabuurt Noord
00344702;Faunabuurt Zuidoost
00344703;Faunabuurt Zuidwest
00344704;Bedrijventerrein Faunabuurt
00344801;Bloemenbuurt Noord
00344802;Bloemenbuurt Oost
00344803;Bloemenbuurt Zuid
00344804;Bloemenbuurt West
00344901;Regenboogbuurt Noord en Oost
00344902;Regenboogbuurt Zuid
00344903;Regenboogbuurt West
00344904;Meridiaanpark Zuid
00345001;Indische Buurt Oost
00345002;Indische Buurt West
00345101;Eilandenbuurt Noord
00345102;Eilandenbuurt Oost
00345103;Eilandenbuurt Zuid
00345104;Eilandenbuurt West
00345105;Bedrijventerrein De Rederij
00345201;Stripheldenbuurt Noordwest
00345202;Stripheldenbuurt Noordoost
00345203;Stripheldenbuurt Midden- oost
00345204;Stripheldenbuurt Oost
00345205;Stripheldenbuurt Zuid
00345206;Stripheldenbuurt Midden- west
00345207;Bedrijventerrein De Striptekenaar
00345301;Sieradenbuurt (brt)
00345302;Oostrandpark Oost
00345601;Poldervlak Oost
00345602;Poldervlak West
00345701;Bedrijventerrein De Vaart 4-6
00345702;Bedrijventerrein De Vaart 1-3
00345801;Buitenvaart (brt)
00345901;Overig Almere Buiten Noord
00345902;Overig Almere Buiten Zuid
00346001;Europakwartier Oost (brt)
00346101;Europakwartier W.-Noord
