Buurt2025;buurtnaam2025
01830150;Albergen industrie
01830200;Harbrinkhoek kern
01830209;Verspreide huizen Harbrinkhoek
01830301;Geesteren noord
01830302;Geesteren zuid
01830309;Verspreide huizen Geesteren
01830350;Geesteren industrie Lutkeberg
01830400;Langeveen kern
01830409;Verspreide huizen Langeveen
01830500;Vasse kern
01830508;Verspreide huizen Vasse
01830600;Reutum kern
01830609;Verspreide huizen Reutum
01830700;Fleringen kern
01830709;Verspreide huizen Fleringen
01830800;Mariaparochie
01830900;Manderveen kern
01830909;Verspreide huizen Manderveen
01831009;Verspreide huizen Mander
01831109;Verspreide huizen Hezingen
01831209;Verspreide huizen Haarle
01840000;Urk-Kom
01840002;Toppad
01840003;Urk-Noord
01840004;Havens en industrieterrein
01840006;De Reede
01840007;Urkerhard
01840008;De Top
01840009;Buitengebied
01840010;De Staart
01840011;Urkerland
01840015;Industrieterrein II
01849997;Groot binnenwater
01890000;Wierden-Centrum
01890001;Wierden-Noord
01890002;Wierden-West
01890003;De Maaten
01890004;Wierden-Oost
01890005;De Stouwe
01890006;'t Loo
01890007;De Hooilanden
01890008;Zuidbroek
01890105;Verspreide huizen Lage Egge en omgeving
01890106;Verspreide huizen Broeklanden
01890107;Verspreide huizen Huurne I
01890108;Verspreide huizen Huurne II
01890109;Verspreide huizen Wierdenseveld
01890200;Hooge-Hexel kern
01890209;Verspreide huizen Hooge-Hexel
01890300;Enter-Zuidwest
01890301;Enter-Noordwest
01890302;Enter-Oost
01890303;Enter-West
01890405;Verspreide huizen IJpelo
01890406;Verspreide huizen Waterhoek
01890407;Verspreide huizen Enterveen en Elsslagen
01890408;Verspreide huizen Zuiderveld
01890409;Verspreide huizen Enterbroek en omgeving
01890507;Verspreide huizen Rectum
01890508;Verspreide huizen Notter
01890509;Verspreide huizen Zuna
01931000;Binnenstad-Zuid
01931010;Binnenstad-Noord
01931020;Noordereiland
01931100;Het Noorden
01931110;Schildersbuurt
01931120;Bollebieste
01931130;Dieze-Centrum
01931140;Bagijneweide
01931150;Hogenkamp
01931160;Indischebuurt
01931170;Meppelerstraatweg-Zuid
01931180;Bedrijventerrein Floresstraat
01931200;Wipstrik-Noord
01931210;Wipstrik-Zuid
01931300;Stationsbuurt
01931310;Oud-Assendorp
01931320;Nieuw-Assendorp
01931330;Wezenlanden
01931340;Pierik
01931350;Bedrijventerrein Marslanden-Noord
01931360;Hanzeland
01931400;Kamperpoort
01931410;Veerallee
01932000;Bedrijventerrein Voorst-A
01932010;Bedrijventerrein Voorst-B
01932020;Spoolde
01932100;Oud-Westenholte
01932110;Westenholte-Stins
01932120;Vreugderijk
01932130;Bedrijventerrein Voorst-C
01932140;Bedrijventerrein Voorst-D
01932200;Frankhuis
01932210;Mastenbroek
01932220;Schoonhorst
01932230;Werkeren
01932240;Milligen
01932250;Tippe bij de IJssel
01932260;Breecamp
01932270;Breezicht
01932280;Stadsbroek
01933000;Holtenbroek IV
01933010;Holtenbroek I
01933020;Holtenbroek II
01933030;Holtenbroek III
01933100;Aa-landen-Zuid
01933110;Aa-landen-Midden
01933120;Aa-landen-Noord
01933130;Aa-landen-Oost
01933200;Brinkhoek
01933210;Langenholte
01933220;Haerst
01934000;Berkum
01934010;Bedrijventerrein de Vrolijkheid
01934020;Veldhoek
01934030;Kantorenterrein Oosterenk
01934040;Bedrijventerrein Hessenpoort
01934050;Tolhuislanden
01934100;Herfte
01934110;Bedrijventerrein Marslanden-Zuid
01934120;Wijthmen
01935000;Oud-Schelle
01935010;Schellerhoek
01935020;Schellerbroek
01935030;Schellerlanden
01935040;Oldenelerlanden-Oost
01935050;Oldenelerlanden-West
01935060;Oldenelerbroek
01935070;Schelle-Zuid en Oldeneel
01935080;Katerveer-Engelse werk
01935100;Oud-Ittersum
01935110;Ittersumerlanden
01935120;Ittersumerbroek
01935130;Geren
01935140;Gerenlanden
01935150;Gerenbroek
01935160;Oude Mars
01935200;Windesheim
01935210;Harculo en Hoog-Zuthem
01970101;Barlo-Kern
01970102;Verspreide huizen Barlo
01970103;Verspreide huizen Heurne
01970104;Verspreide huizen IJzerlo
01970105;IJzerlo-kern
01970106;Lintelo-kern
01970107;Verspreide huizen ten westen van Aalten
01970108;Verspreide huizen Lintelo
01970109;Verspreide huizen Dalese Veld
01970110;Verspreide huizen Dale
01970111;Verspreide huizen Haart
01970112;Haart-kern
01970201;Verspreide huizen Bredevoort
01970202;Verspreide huizen Hollenberg
01970203;Verspreide huizen Het Zwanenbroek
01970204;Bredevoort
01970301;Aalten-kern West
01970302;Aalten-kern Zuid 1
01970303;Aalten-kern Zuid 2
01970304;Aalten-kern Noord/Noordoost
01970305;Aalten Kern 't Kobus
01970306;Aalten-kern Oost
01970307;Aalten-kern Centrum
01970400;Dinxperlo Centrum/Oost
01970401;Dinxperlo Noord
01970402;Dinxperlo West
01970403;De Heurne-kern
01970408;Verspreide huizen Dinxperlo
01970409;Verspreide huizen De Heurne
02000101;Binnenstad
02000102;De Haven
02000201;Brinkhorst
02000202;Sprengenweg-Noord
02000203;Sprengenbos
02000204;Berg en Bos
02000205;Driehuizen
02000206;Orden
02000207;Park Berg en Bos
02000301;Ugchelen
02000302;Ugchelen-Zuid
02000303;De Heeze
02000304;Westenenk
02000305;Winkewijert
02000306;De Bouwhof
02000307;Brouwersmolen-Noord
02000308;Dennenheuvel
02000309;Holthuizen
02000310;Brouwersmolen-Zuid
02000311;Wernem
02000401;Brummelhof
02000402;Vogelkwartier
02000403;Staatsliedenkwartier
02000404;Componistenkwartier
02000405;Rivierenkwartier
02000406;Malkenschoten
02000407;Kayersmolen-Noord
02000408;Kayersmolen-Midden
02000409;Kayersmolen-Zuid
02000501;Matendreef
02000502;Matenhorst
02000503;Matendonk
02000504;Matenhoeve
02000505;Matenveld
02000506;Matengaarde
02000507;Matenhoek
02000508;Kuipersveld
02000601;Welgelegen
02000602;Osseveld-West
02000603;Osseveld-Oost
02000604;Woudhuis
02000605;Groot Zonnehoeve
02000606;De Voorwaarts
02000607;Bedrijvenpark Ecofactorij
02000608;Bedrijvenpark Oost
02000701;Zevenhuizen
02000702;Sluisoord
02000703;De Mheen
02000704;Anklaar
02000705;Sprenkelaar
02000706;Bedrijvenpark Apeldoorn-Noord
02000707;Sleutelbloem
02000708;Zuidbroek - Mozaïek & Rooster
02000709;Zuidbroek - De Wellen
02000801;De Parken
02000802;Spainkbos
02000803;Loolaan-Noord
02000804;Het Loo
02000805;Kerschoten-West
02000806;Kerschoten
02000807;Paleispark
02000808;Stadhoudersmolen
02000809;Hommelbrink
02001001;Uddel
02001002;Agrarischgebied Uddel
02001003;Bosgebied Meerveld
02001004;Bosgebied Nieuw Milligen
02001101;Orderbos
02001102;Hoog Soeren
02001103;Bosgebied Hoog Soeren
02001104;Bosgebied Hoog Buurloo
02001201;Hoenderloo
02001202;Bosgebied Ugchelen
02001203;Bosgebied Hoenderloo
02001204;Miggelenberg
02001301;Het Goreld
02001302;Loenen
02001303;Bosgebied Loenen
02001401;Beekbergen
02001402;Bosgebied Beekbergen-West
02001403;Agrarischgebied Beekbergen
02001404;Bosgebied Beekbergen-Zuid
02001501;Lieren
02001502;Agrarischgebied Lieren-Oosterhuizen
02001503;Bosgebied Oosterhuizen
02001601;Wolthuis
02001602;Klarenbeek
02001603;De Hooilanden
02001604;De Hooilanden-Oosterhuizen
02001701;Wenum
02001702;Beemte
02001703;Bosgebied Wiesel
02001704;Agrarischgebied Wiesel
02001705;Agrarischgebied Wenum
02001706;Agrarischgebied Beemte Broekland
02020100;Markt
02020101;Weverstraat
02020102;Rijnstraat
02020103;Janssingel
02020104;Stationsplein
02020170;Utrechtsestraat
02020210;Hommelstraat
02020211;Spijkerbuurt
02020212;Boulevardwijk
02020314;Statenkwartier
02020320;Arnhemse Broek
02020321;Van Verschuerbuurt
02020322;Industrieterrein
02020338;Bij de John Frostbrug
02020339;Nieuwe Kadekwartier
02020423;Presikhaaf I
02020424;Presikhaaf II
02020425;Presikhaaf III
02020526;Over het Lange Water
02020527;Elsweide
02020528;Winkelcentrum
02020529;Ijsseloord
02020630;St. Marten
02020631;Graaf Ottoplein e.o.
02020650;Sonsbeek-Noord
02020732;Klarendal-Zuid
02020733;Klarendal-Noord
02020734;Onder de Linden
02020735;St. Janskerkstraat e.o.
02020840;Velperweg-Noord
02020841;Molenbeke
02020842;Terrein ENKA
02020843;Plattenburg
02020844;Angerenstein
02020845;Paasberg
02020951;Hazegrietje
02020952;Alteveer/Cranevelt
02021053;Geitenkamp
02021154;Monnikenhuizen
02021155;Arnhemse Allee
02021159;Klarenbeek
02021260;Transvaalbuurt
02021261;Burgemeesterswijk
02021262;Gulden Bodem
02021263;Sterrenberg
02021264;Hoogkamp
02021269;Sonsbeek/Zijpendaal
02021365;Bakenberg
02021366;Schaarsbergen
02021367;West van Schaarsbergen
02021368;N.O. van Schaarsbergen
02021471;Lombok
02021473;Brouwerijweg e.o.
02021474;Heijenoord
02021572;Klingelbeek
02021579;Het Dorp/Mariëndaal
02021681;Meinerswijk/De Praets
02021682;Malburgen-West
02021780;Groene Weide
02021783;Kamillehof
02021798;Bakenhof
02021815;'t Duifje
02021884;Immerloo I
02021885;Middelgraaflaan e.o.
02021886;Zeegsingel e.o.
02021887;Eimersweide
02021888;Immerloo II
02021989;Holthuizen
02021990;Kronenburg
02021993;Vredenburg
02022092;Elden
02022191;Elderveld-Zuid
02022194;Elderveld-Noord
02022197;Elderhof
02022295;De Laar-West
02022296;De Laar-Oost
02022316;Rijkerswoerd-Oost
02022317;Rijkerswoerd-Midden
02022318;Rijkerswoerd-West
02022319;De Overmaat
02022447;Schuytgraaf-Noord
02022448;Schuytgraaf-Centrum
02022449;Schuytgraaf-Zuid
02035400;Buitengebied Barneveld
02035401;Centrum Barneveld
02035402;De Koot
02035403;Vogelbuurt
02035404;De Lors
02035405;Staatsliedenwijk
02035406;De Valk
02035407;Vliegersveld
02035408;Rootselaar-West
02035409;Rootselaar-Oost
02035410;Oldenbarneveld
02035411;De Vaarst
02035412;Norschoten
02035413;De Briellared
02035414;De Burgt
02035415;Veller
02035425;Harselaar-West
02035426;Harselaar-Oost
02035530;Buitengebied Voorthuizen
02035531;Centrum Voorthuizen
02035532;Haarkamp
02035533;Roeleneng
02035534;Prinsessenwijk
02035535;De Wheem
02035536;De Steenkamp
02035537;Zeeheldenwijk
02035538;Componistenwijk
02035539;De Maat
02035540;De Kromme Akker
02035541;Blankensgoed
02035650;Buitengebied Kootwijkerbroek
02035651;Kootwijkerbroek
02035652;Kootwijkerbroek-west
02035780;Buitengebied Garderen
02035781;Garderen
02035875;Buitengebied Terschuur
02035876;terschuur
02035877;Blankenhoef
02035960;Buitengebied Stroe
02035961;Stroe
02036070;Buitengebied Zwartebroek
02036071;Zwartebroek
02036190;Buitengebied De Glind
02036191;De Glind
02036265;Buitengebied kootwijk
02036266;Kootwijk
02036395;Buitengebied Achterveld
02090100;Beuningen-Buitengebied Noord
02090101;Beuningen-Buitengebied Zuid
02090110;Beuningen-Beuningse Plas Plas
02090111;Beuningen-Centrum
02090112;Beuningen-Centrum Oost
02090113;Beuningen-De Haaghe
02090114;Beuningen-De Notenhof
02090121;Beuningen-Duivenkamp
02090122;Beuningen-De Linde
02090123;Beuningen-Hoeve-1
02090124;Beuningen-Hoeve-2
02090125;Beuningen-Hoeve-3
02090126;Beuningen-De Hutgraaf
02090131;Beuningen-Schoenaker
02090141;Beuningen-Aalsterveld
02090142;Beuningen-Olden Tempel
02090143;Beuningen-Blanckenburgh
02090144;Beuningen-Viermorgen
02090145;Beuningen-Tinnegieter
02090146;Beuningen-Den Balmerd
02090147;Beuningen-Sportpark De Ooigraaf
02090151;Beuningen-Heuve-1
02090152;Beuningen-Heuve-2
02090153;Beuningen-Heuve-3
02090154;Beuningen-Heuve-4
02090161;Beuningen-Beuningse Plas
02090202;Ewijk-Buitengebied Noord-1
02090203;Ewijk-Buitengebied Zuid-1
02090204;Ewijk-Buitengebied Zuid-2
02090271;Ewijk-Centrum
02090272;Ewijk-Vording-2
02090273;Ewijk-Vording-3
02090274;Ewijk-Veluwstraat
02090275;Ewijk-Keizershoeve
02090276;Ewijk-Den Elt
02090305;Weurt-Buitengebied Noord
02090306;Weurt-Buitengebied Zuid
02090381;Weurt-Noord
02090382;Weurt-Zuid
02090383;Weurt-De Sluis
02090407;Winssen-Buitengebied Noord
02090408;Winssen-Buitengebied Zuid-1
02090409;Winssen-Buitengebied Zuid-2
02090491;Winssen-Centrum
02130100;Empe Kern
02130101;Empe Buitengebied
02130102;Dovenkamp
02130200;Tonden
02130300;Brummen Centrum
02130301;Brummense Enk West
02130302;Brummense Enk Oost
02130303;De Pothof
02130304;Koppelenburg
02130305;Brummen Buitengebied
02130306;Rhienderen Kern
02130307;Rhienderen Noord
02130308;Rhienderense Enk
02130309;Elzenbos
02130310;Hazenberg
02130311;Rhienderen Buitengebied
02130312;(Rhienderense) Broek
02130313;Oeken Kern
02130314;Oeken Buitengebied
02130315;Wapsum
02130316;Voorstonden
02130317;Cortenoever
02130400;Leuvenheim Kern
02130401;Leuvenheim Buitengebied
02130402;Lichtenbelt
02130500;Hall Kern
02130501;Hall Buitengebied
02130502;Cellenrijk
02130600;Eerbeek Centrum
02130601;Lombok
02130602;Noorderenk
02130603;Werfakker
02130604;Veldkant
02130605;Eerbeekse Enk
02130606;Eerbeek Zuid
02130607;Het Hungeling
02130608;Wilhelminapark
02130609;Eerbeek Buitengebied
02130610;Coldenhove
02140000;Buren-Oude Kern
02140001;Buren Appelenboomgaard
02140002;Buren Tielseweg
02140003;Asch
02140004;Erichem
02140006;Verspreide huizen poldergebied Buurmalsen
02140007;Verspreide huizen Erichem
02140008;Verspreide huizen Asch
02140009;Verspreide huizen Buren
02140100;Beusichem
02140101;Zoelmond
02140109;Verspreide huizen Beusichem en Zoelmond
02140200;Zoelen
02140201;Kerk Avezaath
02140202;De Woerd
02140206;Verspreide huizen ten oosten van kanaal
02140207;Verspreide huizen Zoelen
02140208;Verspreide huizen Kerk Avezaath
02140209;Verspreide huizen Kapel Avezaath
02140300;Lienden
02140301;Ommeren met Den Eng
02140305;Ommerveld en verspreide huizen polder Meerten
02140306;Verspreide huizen Aalst Leutes polder Aalst
02140307;Verspreide huizen De Mars en Marsdijk
02140308;Verspreide huizen Lienden
02140400;Ingen
02140402;Klinkenberg
02140408;Verspreide huizen Klinkenberg
02140409;Verspreide huizen Ommerenveld en Zwarte Paard
02140500;Maurik
02140501;Rijswijk
02140502;Eck en Wiel
02140503;Ganzert
02140507;Verspreide huizen Rijswijk
02140508;Verspreide huizen Maurik
02140509;Verspreide huizen Eck en Wiel
02140600;Ravenswaaij
02140608;Verspreide huizen Ravenswaaij
02140609;Verspreide huizen poldergebied
02160000;Binnenstad
02160001;Dreven
02160002;Bloemen/Oranjebuurt
02160003;De Hond
02160004;Ter Weijde Componistenbuurt
02160005;Ter Weijde Statenliedenbuurt
02160006;Voorkoop Noord
02160007;Voorkoop Zuid
02160008;Westerkwartier
02160009;Lanxmeer
02160010;Buitengebied Redichem
02160100;Achter de Poort
02160101;Goilberdingen Oost
02160102;Goilberdingen West
02160103;Parijsch Landzicht
02160104;Parijsch Vlinderbuurt
02160105;Parijsch Lokkershoek
02160106;Industrieterrein Pavijen
02160107;Buitengebied Waterlinie
02160108;Buitengebied Vretstrooij
02210100;De oude Stad binnen de gracht
02210101;Noordelijk Molenveld
02210102;Zuidelijk Molenveld
02210103;De Ooi
02210104;Beinum I
02210105;Beinum II
02210106;Bedrijventerrein Beinum
02210107;Bedrijventerrein Verhuellweg
02210108;Verspreide huizen Noordoost
02210109;Verspreide huizen Fraterswaard-Noordoost
02210110;Verspreide huizen IJssel en Oude IJssel
02220101;Stadscentrum
02220102;Torenallee
02220103;Het Loo
02220104;Stadscentrum - noord
02220105;De Pas - noord
02220106;De Pas - zuid
02220201;Muziekbuurt
02220202;Schrijvers en dichtersbuurt
02220203;Wiltinksbrug
02220204;Overstegen - west
02220205;Overstegen - oost
02220206;Wonninkhage
02220208;Wassinkbrink - zuidoost
02220301;Holterhoek
02220302;Schöneveld - zuid
02220303;Schöneveld - noord
02220401;Oosseld / Vijverberg - zuidwest
02220402;Buitengebied - Polmanlaan
02220403;Buitengebied - de Wrange
02220404;Vijverberg
02220405;Buitengebied - Groenendaal
02220406;Buitengebied - Nutselaer / Abdij
02220407;Buitengebied - IJzevoorde
02220408;Buitengebied - Slangenburg
02220501;Hamburgerbroek
02220502;Verheulsweide - noord
02220503;Verheulsweide - zuid
02220504;Buitengebied - Kemnaderallee
02220505;Iseldoks
02220601;De Hoop - noord
02220602;De Huet - fase 1 + 3
02220603;De Huet - fase 2
02220604;De Huet - fase 4
02220605;De Huet - fase 6 + 7
02220606;De Huet - fase 5
02220607;Sportpark Zuid
02220608;Bedrijventerrein De Huet
02220609;Buitengebied - De Huet
02220702;Romantische buurt - noord
02220703;Romantische buurt - zuid
02220704;Landelijk wonen
02220705;Kleurrijke buurt
02220706;Stadskwartier - zuid
02220707;Stadskwartier - noord
02220708;Buitengebied - Dichteren
02220709;Bedrijventerrein Wijnbergen
02220710;Wijnbergen - Het Westen
02220711;Wijnbergen - Het Midden
02220712;Wijnbergen - De Kwekerij
02220713;De Hoop - zuid
02220801;IJsseltuin / Heelweg
02220802;Bedrijventerrein Keppelseweg
02220803;Buitengebied - Keppelseweg
02220804;Langerak - zuid
02220901;Het Loo
02220902;De Happert - ziekenhuis
02220903;De Kruisberg
02220904;De Happert - Leerinkstraat
02220905;De IJkenberg
02220906;De Bezelhorst
02220907;Buitengebied - De Kruisberg
02220908;Buitengebied - Groot Hagen
02220909;Langerak - noord
02220911;Wassinkbrink - noordwest
02221101;Vulcaansoord / Het Richtersbos - zuid
02221102;De Elshof - zuid
02221103;De Pol / Akkermansweide
02221104;Het Hartger / De Elshof - noord
02221105;Buitengebied - 't Klooster
02221106;Buitengebied - Pierikstraat
02221107;Buitengebied - Pinnedijk
02223101;Diepenbroek
02223102;Wehl - west
02223103;Buitengebied - Stille Wald
02223104;Buitengebied - Het Broek
02223105;Wehl - oost
02223106;Wehl - noordoost
02223107;Wehl - noord
02223108;Nieuw Wehl - centrum
02223109;Nieuw Wehl - noordoost
02223110;Nieuw Wehl - zuidwest
02223111;A18 Bedrijvenpark
02223112;'t Hagelkruis
02223113;Heideslag
02250001;Verspreide huizen Druten
02250101;Boldershof
02250102;Delenoord
02250103;Druten West
02250104;Oud Druten
02250105;Druten Centrum
02250106;Oranjebuurt
02250107;Zeevaarders
02250108;Tichellande
02250109;Bedrijventerrein Westerhout
02250110;Bedrijventerrein Kerkeland
02250201;De Koekoek
02250202;Klein Middelveld
02250203;Buitenhof
02250204;Bouwing
02250205;Bedrijventerrein Klepperheide
02250301;Verspreide huizen Deest
02250302;Deest
02250303;Bedrijventerrein Deest
02250401;Verspreide huizen Afferden
02250402;Afferden
02250501;Verspreide huizen Puiflijk
02250502;Puiflijk
02250601;Verspreide huizen Horssen
02250602;Horssen
02250603;Molenhoek
02260101;Bedrijventerrein
02260201;Het Broek
02260301;West
02260302;Oud Zuid
02260303;Centrum
02260304;De Vergert
02260305;De Nieuweling
02260306;De Ploen
02260307;Noord
02260308;Lommerweide
02260401;Zuidwest
02260402;Zuidoost
02260501;Groessen
02260601;Loo Gld
02280101;Centrum Ede
02280102;Bosrand
02280103;Komponistenbuurt
02280104;Burgemeestersbuurt
02280105;Stationsbuurt
02280201;Zeeheldenbuurt
02280202;Indische buurt
02280203;Vogelbuurt
02280204;Bloemenbuurt
02280205;Beatrixpark
02280206;Klaphek
02280301;De Horsten
02280302;De Burgen
02280303;De Steinen
02280305;De Dalen
02280306;De Velden en Beken
02280307;De Hoven
02280401;De Bergen
02280402;De Bossen
02280403;De Venen en Zanden
02280501;Veluwse Poort
02281001;Uitvindersbuurt
02281002;Hoogbouw-Zuid
02281003;Reehorst
02281004;Enka
02281101;Elskamp
02281102;Maandereng-Oost
02281103;De Hoef
02281201;De Parken
02281202;De Dreven
02281203;De Singels
02281204;De States
02281301;Frankeneng
02281302;Heestereng
02281303;De Vallei
02281304;Schuttersveld-Zuid
02281305;Schuttersveld-Noord
02281306;Kievitsmeent
02282031;Maanderbroek
02282032;Doesburg
02282051;Driesprong/Ginkel
02283001;De Laar
02283002;Bennekom-Zuidoost
02283003;Boekelo
02283004;Halderbrink
02283031;De Kraats/Nergena
02283051;Dikkenberg
02284001;Centrum Lunteren
02284002;Wormshoef
02284003;Lunteren-Oost
02284031;Nederwoud
02284032;De Veenen
02284033;Lunterse Veld
02284034;Meulunteren/De Valk
02284051;Lunterse Buurtbos
02285001;Ederveen dorp
02285031;Ederveen buitengebied
02286001;De Klomp dorp
02286031;De Klomp buitengebied
02287001;Harskamp dorp
02287002;Legerplaats Harskamp
02287031;Westeneng
02287051;Harskampse Zand
02288001;Wekerom dorp
02288031;Wekeromse Meent
02288051;Wekeromse Zand
02289001;Otterlo dorp
02289031;Eschoter Veld
02289051;Reemst
02289052;Hoog Baarlo
02289053;Deelen
02300100;Binnenstad
02300101;Havengebied
02300102;Oosthoek
02300103;Vrijheid
02300104;Oostendorp
02300105;Vossenakker-De Pal
02300106;Achterweg-De Dijkjes-Horstkamp
02300107;Wildemaet-Molendorp
02300108;Buitengebied Elburg Zuid
02300109;Buitengebied Elburg Noord
02300110;Broeklanden
02300201;’t Harde Centrum
02300202;’t Harde West
02300203;’t Harde Oost
02300204;’t Harde Noord
02300205;’t Harde Zuid
02300207;Buitengebied ’t Harde Noord
02300209;Buitengebied ’t Harde Zuid
02300300;Doornspijk
02300304;Hoge Enk
02300306;Buitengebied Doornspijk West
02300308;Buitengebied Doornspijk Oost
02309997;Groot binnenwater
02320000;Epe Centrum
02320001;Hoge Weerd
02320002;Hogeland
02320003;Epe Noord
02320004;Burgerenk
02320005;Enkweg
02320006;Gildehoek
02320007;Kweekweg
02320008;Vegtelarij
02320009;Klaarbeek
02320010;Buitengebied Epe Noord
02320011;Buitengebied Epe West
02320012;Buitengebied Epe Oost
02320100;Kern Emst
02320101;Buitengebied Emst
02320200;Vaassen Centrum
02320201;Heggerenk
02320202;Krugerstraat Noord
02320203;Krugerstraat Zuid
02320204;Oosterhof
02320205;Berkenoord 1
02320206;Berkenoord 2
02320207;Woestijnweg
02320208;Vogelbuurt
02320209;Vulcanus - de Pirk
02320210;Eekterveld
02320211;Buitengebied Vaassen
02320300;Kern Oene
02320301;Buitengebied Oene
02330001;Ermelo - Noord
02330002;Ermelo - Oost
02330003;Ermelo - Zuid
02330004;Ermelo - West
02330005;Veldwijk
02330101;Ermelo - Centrum
02330201;Tonsel
02330202;Veldzicht
02330301;Verspreide huizen Horst
02330302;Verspreide huizen Zuiderzeeland
02330303;'s Heerenloo
02330304;Verspreide huizen Telgt
02330401;Verspreide huizen bosgebied
02330402;Drie
02330501;Verspreide huizen Speuld
02330502;Verspreide huizen heidegebied
02330503;Verspreide huizen De Beek
02330504;Verspreide huizen Houtdorp
02330505;Verspreide huizen Staverden
02330506;Verspreide huizen Leuvenum
02339997;Groot binnenwater
02430101;Binnenstad Noord
02430102;Binnenstad Zuid
02430201;De Eilanden
02430202;De Kades
02430203;Stadswerven
02430204;De Knar
02430301;Zeebuurt Oost
02430302;Zeebuurt West
02430401;Friesegracht Noord
02430402;Friesegracht Zuid
02430501;Stadsdennen Noord
02430502;Stadsdennen Midden
02430503;Stadsdennen Oost
02430504;Stadsdennen Zuidwest
02430601;Sypel Oost
02430602;Sypel West
02430701;Nachthok
02430702;Weiburg
02430801;Kruithuis
02430802;Hanzewaard
02430803;Scheepswaard
02430804;Stedenwaard
02430805;Vogelwaard
02430806;Weidewaard
02430807;Drift
02430808;Stromenwaard
02430901;Slingerbos Noord
02430902;Slingerbos Zuid
02431001;Veldkamp
02431002;Kranenburg
02431003;Bedrijvenpark Sypel
02431004;Tinnegieter
02431005;De Wittenhagen Noord
02431006;De Wittenhagen Zuid
02431101;Broekland
02431102;De Akker
02431103;Walstein
02431104;Overveld
02431201;Muziekland I
02431202;Muziekland II
02431203;Muziekland III
02431204;Muziekland IV
02431205;Drielanden Centrum
02431206;Harderhout I
02431207;Harderhout II
02431210;Groene Zoom
02431211;Tonsel
02431212;Weisteeg
02431213;Harderweide
02431301;Lorentz I
02431302;Lorentz II
02431303;Lorentz III
02431401;Strokel
02431402;Sonnevanck
02431403;Harderwijkerbos
02431501;Hierden Dorp
02431502;Hierden Glindweg
02431503;Hierden Mheenlanden
02431504;Hierden De Enk
02431505;Hierden De Duinen
02431506;Hierden De Biest
02439997;Groot binnenwater
02440000;Binnenstad
02440001;Zandkamp en omgeving
02440002;Ten oosten van Apeldoornseweg
02440003;Hogenkamp en omgeving
02440004;Villapark
02440005;De Hilst
02440008;Verspreide huizen bosgebied
02440009;Verspreide huizen Hoenwaard
02440108;Verspreide huizen Koeweg en Molecaten
02440109;Verspreide huizen Gelderse Dijk en omgeving
02460000;Heerde
02460001;Veessen
02460002;Vorchten
02460003;Hoorn
02460004;Verspreide huizen Veessen
02460005;Verspreide huizen Heerde-Noord en Hoorn
02460006;Verspreide huizen Heerde-Zuid
02460007;Verspreide huizen Vorchten
02460008;Verspreide huizen Lage Land
02460009;Verspreide huizen bosgebied
02460100;Wapenveld
02460106;Verspreide huizen Wapenveld-Noord
02460107;Verspreide huizen Wapenveld-Zuid
02460108;Verspreide huizen Lage Land
02460109;Verspreide huizen bosgebied
02520000;Heumen
02520001;Malden-West
02520002;Malden-Oost
02520003;Broekkant en Droge
02520004;Molenhoek
02520005;Kluis
02520006;Verspreide huizen Malden
02520007;Verspreide huizen bosgebied ten oosten kanaal
02520008;Verspreide huizen Heumen
02520009;Verspreide huizen bosgebied ten westen kanaal
02520100;Overasselt
02520101;Nederasselt
02520103;Verspreide huizen Overasseltse Broek
02520104;Verspreide huizen Overasseltse Uiterwaarden
02520105;Verspreide huizen Valenberg en Heide
02520106;Verspreide huizen Nederasseltse Broek
02520107;Verspreide huizen Worsum
02520108;Verspreide huizen in de polder Balgoij en Einde
02520109;Verspreide huizen Nederasseltse Uiterwaarden
02620000;Vesting
02620001;Zuiderenk
02620002;Lochem-Zuid
02620003;Lochem-Oost
02620004;Lochem-West
02620005;Lochem-Noord
02620006;Molengronden
02620100;Zwiep
02620106;Verspreide huizen Het Veen en Grote Veld
02620107;Verspreide huizen Klein Dochteren
02620108;Verspreide huizen Ampsen
02620109;Verspreide huizen Nettelhorst, Langen en Zwiep
02620200;Laren
02620201;Exel
02620205;Verspreide huizen Groot Dochteren
02620206;Verspreide huizen Oolde
02620207;Verspreide huizen Verwolde
02620208;Verspreide huizen Exel
02620209;Exel Tol
02620300;Barchem
02620307;Verspreide huizen Lochemseweg
02620308;Verspreide huizen Zwarte Veen en Barchemse Enk
02620309;Verspreide huizen Boschheurne en Zwiepsche Broek
02620400;Gorssel
02620401;Eefde
02620402;Epse
02620406;Verspreide huizen Joppe
02620407;Verspreide huizen Gorssel
02620408;Verspreide huizen Epse
02620409;Verspreide huizen Eefde
02620500;Almen
02620501;Harfsen
02620506;Verspreide huizen Almen ten zuiden van Twentekanaal
02620507;Verspreide huizen Almen ten noorden van Twentekanaal
02620508;Verspreide huizen Harfsen
02620509;Verspreide huizen Kring van Dorth
02630000;Kerkdriel
02630001;Velddriel
02630002;Hoenzadriel
02630003;Alem
02630006;Verspreide huizen Noord Beemden
02630007;Verspreide huizen Kerkdriel, Berm en Hoorzik
02630008;Verspreide huizen Velddriel, Vlierd en Beemden
02630009;Verspreide huizen Maasdijk en Uiterwaarden
02630010;Verspreide huizen Alem
02630100;Ammerzoden
02630101;Well
02630102;Wellseind-Slijkwell
02630108;Verspreide huizen Het Heust
02630109;Verspreide huizen Uilecoten
02630200;Hedel
